Part/Designator,Seeed SKU,Mfr,Mfr. Part#,Quantity,comment
C1,302010003,YAGEO,CC0402KRX5R5BB105,1,0402 1uf
C2,302010053,YAGEO,CC0402MRX5R5BB106,1,0402 10uf
"C3,C4,C5,C6",302010006,YAGEO,CC0402KRX7R9BB103,4,0402 10nF
R1,301010289,YAGEO,RC0603JR-0722RL,1,0603 22r
R2,301010052,YAGEO,RC0402FR-0722RL,1,0402 22r
R3,301010004,YAGEO,RC0402JR-0710KL,1,0402 10k
"R6,R9",301010090,YAGEO,RC0603JR-07100RL,2,0603 100r
"R4,R5,R7,R8",,YAGEO,RC0603JR-07150RL,4,0603 150r
U1,310010018,Atmel,ATMEGA16U2-MU,1,atmega
J1,320010005,suntech,ZX62D-B-5P8,1,usb conn
XT1,306030005,Murata,CSTCE8M00G15L99-R0,1,resonator
